Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_type,min_salary,max_salary,avg_salary,Company_text,job_city,job_state,same_state,company_age,python_JD,rstudio_JD,spark_JD,aws_JD,machinelearning_JD,datascience_JD
Business Intelligence Analyst,54-107,"Who Are We?

Merchant e-Solutions is an innovative, technology-focused company providing a full-service platform to support the payment processing needs for merchants of all sizes, including small business retail shops, B2B wholesalers, and global eCommerce enterprises. We partner with financial institutions, software developers, independent sales organizations, and agents to bring our solutions to market.

Why Join Us?

We're growing and we're looking for collaborative, innovative, and hard-working individuals to grow with us! We offer a modern and inspiring work environment (including a game room and free snacks!) where your ideas and contributions are valued. Come experience, first-hand, the impact of your contributions.

The Opportunity:

Working within the analytics center of excellence team, the BI Analyst will be responsible for using Power BI to develop insightful actionable front-end content for the organization (dashboards, reports, & guided analytics). As familiarity with our data increases, the individual in this role will support back end content creation to expand and specialize the Power BI analytical layer. Successful candidates will have strong communication skills, adept and demonstrable knowledge of Power BI, and experience moving BI content through a full lifecycle.

Your Responsibilities will require you to:

Front end development 70%:
Gather requirements from stakeholders
Responsible for content design methodology and project documentation
Create advanced measures that articulate KPI's in Power BI using DAX
Optimize visualizations maximizing Power BI's speed of response
Create templates that standardize content presentation in PowerPoint, browser, & mobile formats
Develop actionable highly visual reports, dashboards and data narratives
Create interactive visualization allowing users to ask and answer questions through guided analytics
Organize content into apps & workspaces
Captivate non-technical stakeholders and promote the published content
Back end development 30%:
Responsible for data design methodology and project documentation
Build tabular and multidimensional data models in Power BI for apps & the excel plugin
Implement row level security and understand application security layer models in Power BI
Optimize data models Power BI's speed of response
Have strong knowledge of secondary tools like SQL scripting & plan optimization
Qualified Candidate Profile:

Required Skills:
Highly proficient recent T/SQL querying skills, including optimization, parameterization, and analytical queries
4+ years of current business intelligence development experience in a business setting utilizing one of the following tools (Tableau, Power BI, Domo, Sisense)
1+ year of current BI development experience utilizing Power BI as a primary tool
Demonstrable proficiency and experience building multidimensional data models in Power BI
Demonstrable proficiency and experience building advanced DAX based measures in Power BI
Demonstrable proficiency and experience building front end content and templates in Power BI
Demonstrable proficiency and experience supporting Power BI data distribution options (Apps, SharePoint, Excel plugins)
Preferred Skills:
Power BI Certification via Microsoft
Payments or other Financial services industry experience is a plus
BS in a quantitative, computer sciences, engineering, or business program; or equivalent work experience
Personal Drive - willingness and desire to go the extra mile in solving difficult business problems, even when it lies outside traditional boundaries
Team Player - willingness desire to be part of a strong team and contribute to a strong culture within and across organizations; in support of Sales, Product, Ops and other organizations.
Merchant e-Solutions is an Equal Opportunity Employer committed to a diverse workforce.",2.7,"Merchant e-Solutions
2.7","Atlanta, GA","Atlanta, GA",201 to 500 employees,2000,Subsidiary or Business Segment,Financial Transaction Processing,Finance,₹10 to ₹50 billion (INR),-1,Glassdoor,54,107,80.5,"Merchant e-Solutions
",Atlanta,GA,1,20,0,0,0,0,0,0
Senior Data & Analytics Consultant,97-112,"We are seeking a Senior Data & Analytics Consultant who has strong interpersonal skills and a passion for solving data problems and building analytic solutions for our clients across a number of industries. Successful candidates will have proven technical and communication skills with the ability to learn and adapt quickly to changing environments. Preferred candidates should know SQL and have some experience with data engineering, data visualization and modern reporting systems. Candidates who also know open source data science programming languages such as Python and R are preferred. We are looking for someone with at least 5 years of relevant experience working with Data & Analytics and who is a ready for a Senior, hands-on, and highly technical client-facing position.

Responsibilities:
Conduct requirements analysis, design, and implementation activities in full lifecycle reporting and analytics solutions
Building analytical visualizations using modern analytics tools (such as: Tableau, QlikSense, Power BI, etc.)
Sourcing, Mapping, and Coding data transformations and data pipelines
Develop and deliver technical and functional presentations to the internal project team and client organizations
Developing prototypes, to demonstrate the value of data-driven technologies
Working collaboratively in a team-based environment to build lifecycle data and analytics solutions
Requirements:
Bachelor’s Degree in Computer Science, or Information Technology, or other related degrees
Familiarity with data modeling and big data architectures
Proficient skills with SQL required and some working knowledge of Python and/or R is preferred
Strong problem-solving and communication skills
5+ years’ experience working with data and analytics
Some experience working with healthcare or financial data and analytics is preferred (but not required)
Willing to travel up to 50% to client sites within the Northeast
Able to legally work in the US without sponsorship
What We Offer:
25+ years of proven success within the IT systems and consulting industry
Competitive compensation packages that reward high performance
Exciting career growth paths and supportive culture that facilitates continuous learning
Collaborative team-based environment
Comprehensive benefit package including medical, dental, Flexible Spending, and 401(k) with match
Company paid Life insurance and Long-Term Disability
Generous PTO packages that reflect the importance of work/life balance
Gym Membership Reimbursement
About Us: CTI solves business problems, helping companies leverage data and transformational digital technologies to drive growth and enable innovation. We provide strategic guidance, business and technology solutions for clients wishing to solve their most complex challenges involving data analytics, cloud applications, big data, data discovery, and data protection. Simply put, your data is our passion.

CTI is an equal opportunity employer. All applicants will be considered for employment without regard to age, race, creed, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status or any other category protected under applicable federal or state law.",3.6,"Corporate Technologies Inc.
3.6","Burlington, MA","Burlington, MA",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,₹1 to ₹5 billion (INR),-1,Glassdoor,97,112,104.5,"Corporate Technologies Inc.
",Burlington,MA,1,26,1,0,0,0,0,1
Data Engineer,102-126,"Now Hiring a Data Engineer

Ability to maintain a Secret Clearance Required

As a Data Engineer, you will use cutting edge cloud and data technologies to streamline services to our clients. Join our team of Data and Cloud professionals and accomplish what others only dream of. A Secret Clearance is required. Must be able to commute to Reston, VA or Austin, TX. If Remote traveling up to 50% is required.
Ability to apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services within the DoD, bringing Azure Data Factory to IL4 & IL5.
Work in a team using cutting edge technologies to solve challenging business problems and build solutions
Interact directly with our client(s) to understand their needs and meet, or exceed their expectations by meeting delivery deadlines
Work in an agile environment with participation in daily stand-ups/scrum
Design, write, test, troubleshoot, and document application code
Provide mentorship to junior developers
Learn new technologies and be aware of industry standards, best practices, and trends.
Profile of Success
Bachelor's degree in a related field and 6+ years of experience
Deep knowledge of data ingestion strategies and understanding of the V-dimensions of data (velocity, volume, variety, veracity)
Extensive experience with the Azure storage technologies (Azure Data Lake, Azure SQL Data Warehouse, Azure SQL Database)
Extensive experience with Azure data movement and transformation capabilities (Azure Data Factory, Data Lake Analytics, Data Bricks, Stream Analytics)
Proven experience developing Big Data solutions in the Azure space
SQL Server 2014+ experience.
Comfortable with Microsoft SQL data technologies (SSAS/SSIS/SSRS)
Proven ability to work with clients to understand requirements and envision data ingestion solutions
Possess DoD 8570 security certification
Desirable Skills
Microsoft related certifications such as the MCSD/MCSE
Experience with Hadoop-based technologies (HDInsight, Spark, Hive, Pig, Scala, etc.)
Experience with visualization tools such as Power BI or Tableau",4.4,"Applied Information Sciences
4.4","Washington, DC","Reston, VA",501 to 1000 employees,1982,Company - Private,IT Services,Information Technology,₹5 to ₹10 billion (INR),-1,Glassdoor,102,126,114.0,"Applied Information Sciences
",Washington,DC,0,38,0,0,1,0,0,1
Senior Data Scientist,81-102,"Brinks Home Security™ is a proven leader in the smart home technology and residential security industries, providing cutting-edge products and alarm monitoring services to more than one million customers throughout North America. We are currently seeking a motivated and dynamic Senior Data Scientist.

Our brand promise delivers on 4 core principles:
Integrity in Action: Be True, Be Responsive, Be Accountable
Sense of Urgency: Every Moment Matters
Relentless Discipline: Rigor, Precision and Excellence in Every Single Action
Results Matter: Account to Customers, Employees & Stakeholders
Join our team of trusted security advisors and providers and help us create more secure smart home customers.

Summary:

Brinks Home Security’s Business Intelligence team is rapidly growing and is seeking a Senior Data Scientist to advise on and implement machine learning models to improve customer acquisition and customer retention efforts across the organization.

Essential Duties and Responsibilities:
Develop, implement and evaluate machine learning and optimization models across multiple platforms to create actionable insights from complex data sets.
Work closely with data engineers to deploy models and systematically track model and data performance.
Understand and clearly communicate model performance to leadership team by translating the complex into the concise and clear
Collaborate with Operations, Marketing, Sales, and IT to utilize model findings to build and test programs that improve customer acquisition and retention efforts
Requirements:
Advanced degree in a quantitative discipline such as Computer Science, Engineering, Applied Mathematics, Statistics, Econometrics or Undergraduate degree with significant, demonstrative experience in data science
4+ years of demonstrated/hands-on experience required for the following:
Machine Learning and statistical analysis (text mining, sentiment analysis, gradient boosting, random forest, regression, etc.)
Designing and running experiments and extracting insights
Visualization/Dashboarding tools (Experience with Tableau preferred)
Proficiency in Python and relevant libraries
Thorough understanding of SQL
2+ years experience working with cloud infrastructure (Azure, AWS, Google Cloud etc.)
Excellent communication skills and the ability to collaborate with leadership and other lines of the business",3.4,"Brinks Home Security
3.4","Dallas, TX","Farmers Branch, TX",1001 to 5000 employees,-1,Company - Public,Security Services,Business Services,Unknown / Non-Applicable,"ADT Security Services, Protection 1",Glassdoor,81,102,91.5,"Brinks Home Security
",Dallas,TX,0,-1,1,0,0,1,1,1
Materials and Chemical Data Science - Postdoctoral Appointee,79-131,":

This postdoctoral position is a temporary position for up to one year, which may be renewed at Sandia's discretion up to five additional years. The PhD must have been conferred within five years prior to employment.

Individuals in postdoctoral positions may bid on regular Sandia positions as internal candidates, and in some cases may be converted to regular career positions during their term if warranted by ongoing operational needs, continuing availability of funds, and satisfactory job performance.

:

Are you passionate about developing and applying data science and analytics to characterize material microstructure, chemical composition or materials behavior? If so, you will want to consider applying for this opportunity to join our dynamic, multidisciplinary team of materials scientists, chemists, physicists and others. We are seeking a Postdoctoral Appointee to conduct research in the data science to describe, assess and understand a range of chemical and materials characteristics and properties.

On any given day, you may be called on to:
Plan, conduct, and analyze large data sets ranging from pattern recognition of spectral outputs and 3D microstructural data to mechanical properties from high-throughput testing
Synthesize data analytics knowledge to provide recommendations for additional and/or complementary research to develop data analytics tools to provide clearer understanding of chemical composition, material properties and improved performance
Work with Sandia staff in a collaborative team environment on multiscale projects as part of a dynamic technically-challenging research organization
Effectively communicate accomplishments in presentations at international conferences and publications in peer-reviewed journals
Required:
You have, or are pursuing, a PhD in Materials Science, Applied Mathematics, Chemistry, Computer Science, Physics or a related discipline and possess a bachelor's in a science, technology, engineering or mathematics (STEM) discipline.
You have experience in data analytics, machine learning or artificial intelligence.
You have experience with applications in materials or chemical analysis techniques for characterizing chemical composition, diffraction or spectra pattern recognition, or materials physical structure or properties.
Your effective communication skills are evidenced by a history of publication of results in peer- reviewed journals and external presentations at appropriate scientific conferences.
Desired:
Your background includes a knowledge of materials and chemistry, image analysis, or spectral analysis
You possess experience in computer programming and use of high-performance computing resources.
Experience demonstrating teamwork and positive customer interactions
Proven ability to establish strong collaborations with both computational scientists and experimentalists
Consistent track record of first-authorship papers in peer-reviewed publications or conference presentations
Familiarity with use of mathematical package such as Mathlab, Python, or similar tools
Department Description:

The Computational Materials and Data Science Department provides advanced computational analysis that enables materials-based insight and solutions. Capabilities include model development for nanoscalar and mesoscalar materials evolution, interfacial dynamics, defect initiation and propagation, multivariate analysis, and signal processing. We conduct experiments in micromechanics and volumetric flaw distribution to validate our computational work. Our multidisciplinary background and materials science expertise enable mechanistic and physical understanding related to aging and wear of materials such as metals, semiconductors, biomaterials, and polymers in support of DOE nuclear and non-nuclear missions.

About Sandia:

Sandia National Laboratories is the nations premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs:
Challenging work withamazingimpact that contributes to security, peace, and freedom worldwide
Extraordinary co-workers
Some of the best tools, equipment, and research facilities in the world
Career advancement and enrichment opportunities
Flexible schedules, generous vacations,strongmedical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance\
World-changing technologies. Life-changing careers._ Learn more about Sandia at: http://www.sandia.gov

*These benefits vary by job classification.

Security Clearance:

This position does not currently require a Department of Energy (DOE) security clearance.

Sandia will conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Furthermore, employees in New Mexico need to pass a U.S. Air Force background screen for access to Kirtland Air Force Base. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause access to be denied or terminated, resulting in the inability to perform the duties assigned and subsequent termination of employment.

If hired without a clearance and it subsequently becomes necessary to obtain and maintain one for the position, or you bid on positions that require a clearance, a pre-processing background review may be conducted prior to a required federal background investigation. Applicants for a DOE security clearance need to be U.S. citizens. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain a security clearance may be impacted.

EEO Statement:

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.",3.8,"Sandia National Laboratories
3.8","Albuquerque, NM","Albuquerque, NM",10000+ employees,1949,Government,Government Agencies,Government,₹100 to ₹500 billion (INR),"Los Alamos National Laboratory, Lawrence Livermore National Laboratory",Glassdoor,79,131,105.0,"Sandia National Laboratories
",Albuquerque,NM,1,71,1,0,0,0,1,1
Business Intelligence Analyst,50-100,"Business Intelligence Analyst

McCarthy is seeking a full-time Business Intelligence Analyst who will collaborate with teams across the organization to understand their business processes and from that understanding will develop reports and dashboards to provide foundational and feedback information to enable data-driven, intelligent business decisions.

Key Responsibilities: Business Analysis
In collaboration with business partners across the organization, develop in-depth understanding of key operational processes and needs and their underlying business drivers
Facilitate discovery sessions to gather data and reporting requirements
Utilize agile project delivery practices to plan, execute and support analytics initiatives in a collaborative manner
Represent the voice of the customer to the BI Team to ensure user needs are being met while maintaining the integrity of the analytics solution
Provide formal and informal analytics training to partners and assist the business to integrate analytics in all their processes
Key Responsibilities: Business Intelligence
Analyze data in order to extract market and business trends to increase safety, profit, performance, and efficiency
Create reports and dashboards that adhere to data visualization design best practices
Monitor and audit report data quality and performance
Assist in defining data architecture needed to support reporting needs
Assist with data profiling activities
Skills & Qualifications
3-5 years using Power BI (including DAX, Power Query M, and the Power BI Service) in a business setting
3-5 years working with Microsoft SQL in a business setting
3-5 years’ experience in business analysis
Knowledgeable of visual design best practices
Experience delivering BI solutions within an agile project team, ideally as a product owner
Exceptional analytical, conceptual, and problem-solving abilities
Strong interpersonal skills with ability to communicate and influence at all levels of organization
Highly self-motivated and able to work independently as well as in a team environment
Azure Data Factory and/or experience with setting up and operating ETL/ELT pipelines preferred
Understanding of dimensional modeling concepts preferred
McCarthy is proud to be an equal opportunity and affirmative action employer regardless of race, color, gender, age, sexual orientation, gender identity, religious beliefs, marital status, genetic information, national origin, disability or protected veteran status.",4.3,"McCarthy Building Co
4.3","Saint Louis, MO","Saint Louis, MO",1001 to 5000 employees,1864,Company - Private,Building & Construction,"Building, Repair & Maintenance",₹100 to ₹500 billion (INR),-1,Glassdoor,50,100,75.0,"McCarthy Building Co
",Saint Louis,MO,1,156,0,0,0,0,0,0
Inventory and Data Analyst,40-71,"C&L Aerospace, a C&L Aviation Group company, is seeking qualified applicants for a full-time Inventory and Data Analyst at our Bangor, Maine location. The position is within a fun and fast professional environment where the ideal candidate will be responsible for monitoring various aircraft type inventories to ensure adequate stock levels as prescribed by the Program Managers.

We are looking for a passionate candidate who will turn data into information, information into insight and insight into business decisions.

Job Responsibilities
Interpret data, analyze results and provide ongoing reports on the various aircraft inventory programs C&L offers
Work with the Repairs & Logistics Teams in Bangor on a daily basis to achieve the set goals put in place across the various aircraft inventory programs C&L offers
Keep data collection systems updated and accurate for reporting services
Filter and “clean” data by reviewing reports generated from the data collected
Work with Program Manager to prioritize business and information needs
Monitor inventory in aircraft inventory programs to maintain required levels
Maintain updated and accurate records of inventory; including transfers, exchanges and the repair cycle
Review inventory and monitor application codes to search for discrepancies and troubleshoot discrepancies between stock and records
Prepare and generate aircraft inventory program reports; review reports monthly with Program Manager
Other tasks as required
Experience/ Previous Training
Highly proficient with Microsoft Excel, Advanced User preferred
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Proficient with computers and other standard office technology
Superior organizational skills
Ability to work well independently and as part of a team
Ability to follow directions, policies, and procedures with a positive attitude
Individuals that are mechanically minded would be an advantage
Proven working experience as a data analyst or business data analyst is beneficial
Technical expertise regarding data analysis and reporting on the data is beneficial
Previous Aviation experience is an advantage but not required


Job Status – Full Time

Location – Bangor, ME

What working with us is like

C&L Aviation Group is not your typical aviation company. We believe strongly that healthy wages and a happy work environment contribute to a better quality of life, and as such that quality is reflected in your work. At C&L, you’re more than just a pair of hands. You’re an integral part of our team and future growth plans. As such, there is an opportunity for you to improve and advance with our company.

A Better Relationship

Good employees don’t leave jobs, they leave bad bosses. Our talented and trained leadership team cares about you, and your success at C&L. They strive to stay engaged with you to make sure you’re happy and achieving your goals and potential. They also manage by leading and working collaboratively with everyone. This atmosphere leads to happier employees, better work and a respected reputation with our customers.

A Bright Future

It sounds cheesy, but we want your future to shine so brightly that you need shades. Here at C&L, we provide an atmosphere that fosters both personal and professional growth. Our future here at C&L is bright too. In fact, our 25-year old company has grown from one guy selling aircraft parts out of his basement to now over 200 people, with a 140,000 Sq. Ft Facility offering parts sales, aircraft heavy maintenance, avionics installations, engineering, interior refurbishments, exterior paint, component repair, and aircraft sales.

It’s been a great ride so far and we plan to keep growing. We need your help to do that. Right now, we have hit a point where we are at capacity turning work away – we need more people! Together, we can continue with our growth plans.

A Bigger Vision

We feel very fortunate to be able to grow the way we have. Because of that, we want to provide opportunities for employees to participate in making a difference in the community around us. The best way for us to do that is to help the community around grow with us. That’s why we have adopted a local school, helped fund a local community garden, provide holiday meals for those in need and purchased winter coats for area children.

If you have a particular way you like to give back to others less fortunate, we would love to hear about it, and work together to integrate that into our existing charitable programs.

About the Area

You’ll find Bangor, Maine area is a great place to live and play. It’s a small community of roughly 100,000 people, and the commercial and social center of Northern and Eastern Maine. It is the region’s largest center of retail and service businesses and home to great schools and Universities, College sporting events, a vibrant nightlife and several exceptional event and concert venues.

This is a Full-Time Position and includes the following benefits:
Medical
Dental
Life Insurance
Long-Term and Short-Term Disability
401k
To apply for this position, please fill out our application and submit your resume and cover letter to resumes@cla.aero.",4.2,"C & L Aviation Group
4.2","Bangor, ME","Bangor, ME",51 to 200 employees,1994,Company - Private,Commercial Equipment Repair & Maintenance,"Building, Repair & Maintenance",Unknown / Non-Applicable,"Duncan Aviation, Elliott Aviation, Constant Aviation",Glassdoor,40,71,55.5,"C & L Aviation Group
",Bangor,ME,1,26,0,0,0,0,0,0
Machine Learning Engineer,76-109,"Machine Learning Engineer

US Citizenship is required due to security clearance requirements.

Are you a motivated engineer who is passionate about embracing new challenges and solving the hardest technical problems in a team-oriented environment? Every day, the engineers at Expedition Technology work together to solve our Nations defense and intelligence challenges by using Machine Learning and Deep Learning to demystify data obtained from signals and images.

Our applied research and development mindset afford our people the opportunity to work on the most cutting-edge methods of optimizing deep learning networks, developing state-of-the-art algorithms and ultimately producing software products that are critical to our nations defense infrastructure.

The success we have already achieved has made Expedition Technology one of the top Machine Learning/Deep Learning research organizations in the Defense and Intelligence communities and we need additional intelligent, passionate, creative people to join our team.

When you join our team, youll have the opportunity to:
Dive directly into the latest computer vision and signal processing research to replicate new techniques published in academia and find ways to make those ideas work on a larger scale
Use your strong Python coding skills to research, design, develop and expand upon algorithms that will train neural networks to deliver actionable intelligence faster and more effectively
Develop deep-learning software prototypes that demonstrate potential usefulness to our customers
Analyze data from disparate sources including images, video, radar, signals and more
Brainstorm solutions to the toughest problems alongside a team of smart, creative, passionate engineers
Participate in machine learning brownbag sessions and other forms of collaborative learning to keep abreast of the constant changes in Machine and Deep Learning
Required skills:
Strong problem-solving skills combined with deep intellectual curiosity and the desire to push technical boundaries
Strong coding skills- preferably in Python, C/C++, Julia or other object-oriented language in a Linux environment
Software development skills and the desire to work on cutting edge development in a Cloud environment
Deep understanding of data structures and algorithms
Knowledge of computer vision and/or signal processing including techniques for classification and feature extraction
Excellent oral, written, presentation and communication skills
Bachelors degree in Computer Science, Computer Engineering, Electrical Engineering or related field. Advance degrees welcome
US Citizenship- Must be a US Citizen eligible to maintain a US Government security clearance
Desired skills:
Experience with deep learning frameworks like Tensorflow, PyTorch, Caffe or Keras
About Expedition Technology

At Expedition Technology, we push the boundaries of what is possible every day. Our engineers work on the most challenging problems in Computer Vision, Digital Signal Processing and Software Engineering from a Machine Learning/Deep Learning perspective and collaborate to find the answers. We are a research-focused company whose mission it is to solve our customers most pressing needs in a creative, novel manner.

Expedition Technology offers self-directed, company-paid Medical, Dental and Vision benefits and the freedom to allow you to select which benefits matter most. We offer a 401k with a generous company match, a student loan repayment program, equity shares, paid holidays, paid time off and an education reimbursement allowance. Most importantly, we offer an environment where we are encouraged to push boundaries, take risks and enjoy the rewards.

Interested in joining our team? Lets explore together.

EXP is proud to be an Equal Opportunity Employer that believes a diverse range of talent creates an environment that fuels creativity and innovation. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, disability, national origin, genetic information or protected veteran status.

Powered by JazzHR",5.0,"Expedition Technology, Inc.
5.0","Herndon, VA","Dulles, VA",1 to 50 employees,2013,Company - Private,Aerospace & Defence,Aerospace & Defence,₹1 to ₹5 billion (INR),-1,Glassdoor,76,109,92.5,"Expedition Technology, Inc.
",Herndon,VA,0,7,1,0,0,0,1,0
Data Scientist,101-135,"FM:Systems provides workplace management technology and solutions that enable facility and real estate teams to identify, plan, and deliver the ideal workplace for every employee. Our leading web-based Integrated Workspace Management System (IWMS) and real-estate analytics software improves management of space, occupancy, renovations, moves, maintenance, property, assets, agile workspaces, employee experience, smart buildings, and more.

At FM:Systems, we have 3 guiding values around what we believe and how we behave 1) do the right thing, 2) act with urgency, and 3) cultivate a culture of excellence and accountability. We aim to offer our clients an exceptional experience with every interaction, foster innovation, and invest in our people. We also provide a fantastic, casual work environment including a stocked kitchen, flexible time-off, support for volunteer work, company celebrations, excellent employee benefits, and more. If this sounds like a company you would like to work for, apply today!

We have a dynamic team, consisting of data scientists, software developers, QA experts, systems administrators, and sales and support personnel. Our team is located in Boston, US, and Sofia, Bulgaria. We have a large and growing number of customers, all of whom are global companies with significant leased and owned office space portfolios for their operations.

Our data scientists and data engineers work with a talented software development team as well as a growing ecosystem of business partners and customers to build leading edge technologies in big data.

In this role, you will have the opportunity to:
Deliver highly scalable systems for processing large volume of data.
Build and maintain models extracting actionable analytics from data.
Develop system specifications and translate system requirements to task specifications for other data scientists.
Manage time to meet project delivery requirements.
The successful candidate for this role will have the following skills and experience:
A Bachelors degree in computer science, applied math, or statistics from a four-year university with some experience in ETL
Strong proficiency in Python.
Experience with version control platforms like GitHub.
Experience with MySQL or similar databases.
Excellent spoken and written communication skills in English.
Strong teamwork and interpersonal skills.
You get bonus points if you have any of the following experience:
Masters degree in a highly computational field.
Experience with agile development methodologies is a plus.
Familiarity with PySpark
Experience with AWS (ECS, ECR and Lambda).
FM:Systems is an equal opportunity employer. It is our policy to provide equal employment opportunity to all employees and applicants for employment without regard to race, color, religion, sex or sexual orientation, gender identity or expression, marital status, national origin or ancestry, citizenship, ethnicity, gender, age, disability, present, current or prospective military/uniformed service, genetic information, or other characteristics protected by applicable federal, state or local law. We are committed to a diverse workforce. We value all employees talents and support an environment that is inclusive and respectful.

Powered by JazzHR",3.4,"FM Systems
3.4","Boston, MA","Raleigh, NC",51 to 200 employees,1984,Company - Private,Computer Hardware & Software,Information Technology,₹500 million to ₹1 billion (INR),"Archibus, iOffice, Planon",Glassdoor,101,135,118.0,"FM Systems
",Boston,MA,0,36,1,0,1,1,0,0
Data Engineer,68-86,"Austin, Texas
Apply
Social:


Scientific Games, Social is a global leader focused in providing an ever-expanding portfolio of robust iGaming and Social Casino solutions to the global gaming industry. To put it simply - we make Mobile and Facebook games that are fun to play, fun to make, and we're growing like crazy! Scientific Games global reach is made possible by the expertise of our rock star teams and game makers. Want to be part of a fast-paced company that lands in the Top 1% of Social Casino games? See more details below!

Scientific Games:


Scientific Games (SG) is a global leader focused on delivering an ever-expanding portfolio of lottery and gaming products and services to the world's government-regulated and government-sponsored entities. Scientific Games' global reach is made possible through the expertise, skill and dedicated efforts of its 8,000+ employees who serve lottery and gaming customers in more than 100+ countries on 6 continents.

Position Summary


Essential Job Functions:
• Responsible for the availability of all Redshift game data
• Resolves data ingestion issues and is proactive in recommending long-term solutions to prevent future issues
• Works with individual team members and their managers to optimize queries and table schemas to meet demands
• Run SQL explains on queries for query optimization
• Responsible for maintaining documentation on new data sources, intermediate structures, and how best to access data

Education:
• Bachelor’s degree or higher in Computer Science, MIS, or equivalent experience

Required Experience:
• Minimum 2-5 years of experience with Big Data analytics and querying Big Data
• Minimum 1 year of experience with Amazon AWS or similar cloud-based data storage solution

Preferred Experience:
• Experience with Amazon AWS
• Advanced SQL skills, preferably PostgreSQL or HiveQL
• Expert on use and management of Redshift or PostgreSQL tables, schemas, and functions
• Experience with developing, scheduling, and maintaining ETL processes, especially in an AWS environment
• Clear and effective communication of complex ideas and analysis
• Ability to work with little direction, self-directed
• Active learner, motivated to learn without guidance
• Solutions oriented attitude of customer service
• Critical thinking and creative problem solving

Qualifications


We are SciPlay! We make games!

The roots of our company are simple and strong: our founders fell head over heels for casino games and had a vision to create the most entertaining free-to-play casino games for gamers around the world. We’ve grown into a company that makes games we are truly proud of and that are enjoyed by millions of players every day. Our history is extensive, but we’re just getting started. In 1998, we got our start as Phantom EFX and in 2019, we reintroduced ourselves as SciPlay and went public on the Nasdaq.

At SciPlay, we are programmed to think untraditionally. From our yearly development conferences, shindigs, and new game launches, we believe in doing what you love and doing it well. We take great pride in our ability to create authentic experiences for players and we are excited to continue investing in our workforce, technology, and our data-driven approach, all with the mission of delighting our players long into the future. We believe that if we continue to stay passionate, set ambitious goals, live our values and play together, we will become the #1 social casino and casual gaming company in the world.

A few of our highlighted perks and benefits:
Competitive salaries and annual bonuses alongside matching 401k, employee stock options, and other competitive benefits.
Strong commitment to work life balance
Fully stocked kitchen
Fully stocked gameroom featuring current generation consoles and titles, shuffle board tables, foosball tables, and arcade cabinets (including our prized 5v5 cabinet ultra-rare copy of Killer Queen!)
Brand new, shiny, and aesthetically pleasing 10,000 sq ft office located in the Arboretum area in Austin
SciPlay Corporation and its affiliates (collectively, SciPlay) are committed to creating a workforce of credibility and dependability. As a prerequisite to employment with SciPlay (to the extent permitted by law), you shall be asked to consent to SciPlay conducting a due diligence/background investigation on you. This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above. SciPlay is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.

Scientific Games Corporation and its affiliates (collectively, “SG”) are engaged in highly regulated gaming and lottery businesses. As a result, certain SG employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure SG complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, SG requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with SG (to the extent permitted by law), you shall be asked to consent to SG conducting a due diligence/background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.

SG is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.
Apply",4.0,"SciPlay
4.0","Austin, TX","Cedar Falls, IA",201 to 500 employees,1998,Company - Public,Video Games,Media,Unknown / Non-Applicable,-1,Glassdoor,68,86,77.0,"SciPlay
",Austin,TX,0,22,0,0,0,1,0,0
